"","subj","total_reward","bonus"
"1",1,187,0.561
"2",2,167,0.501
"3",3,199,0.597
"4",4,191,0.573
"5",5,200,0.6
"6",6,176,0.528
"7",7,174,0.522
"8",8,172,0.516
"9",9,191,0.573
"10",10,179,0.537
"11",11,175,0.525
"12",12,191,0.573
"13",13,176,0.528
"14",14,157,0.471
"15",15,190,0.57
"16",16,158,0.474
"17",17,169,0.507
"18",18,194,0.582
"19",19,192,0.576
"20",20,177,0.531
"21",21,166,0.498
"22",22,176,0.528
"23",23,165,0.495
"24",24,194,0.582
"25",25,164,0.492
"26",26,186,0.558
"27",27,182,0.546
"28",28,175,0.525
"29",29,174,0.522
"30",30,170,0.51
"31",31,188,0.564
"32",32,188,0.564
"33",33,168,0.504
"34",34,187,0.561
"35",35,181,0.543
"36",36,184,0.552
"37",37,160,0.48
"38",38,160,0.48
"39",39,182,0.546
"40",40,154,0.462
"41",41,178,0.534
"42",42,191,0.573
"43",43,177,0.531
"44",44,166,0.498
"45",45,172,0.516
"46",46,173,0.519
"47",47,205,0.615
"48",48,167,0.501
"49",49,174,0.522
"50",50,181,0.543
"51",51,186,0.558
"52",52,160,0.48
"53",53,182,0.546
"54",54,187,0.561
"55",55,197,0.591
"56",56,168,0.504
"57",57,188,0.564
"58",58,192,0.576
"59",59,182,0.546
"60",60,196,0.588
"61",61,176,0.528
"62",62,178,0.534
"63",63,170,0.51
"64",64,176,0.528
"65",65,187,0.561
"66",66,193,0.579
"67",67,179,0.537
"68",68,175,0.525
"69",69,189,0.567
"70",70,173,0.519
"71",71,181,0.543
"72",72,193,0.579
"73",73,189,0.567
"74",74,185,0.555
"75",75,166,0.498
"76",76,169,0.507
"77",77,164,0.492
"78",78,209,0.627
"79",79,185,0.555
"80",80,170,0.51
"81",81,174,0.522
"82",82,189,0.567
"83",83,169,0.507
"84",84,192,0.576
"85",85,180,0.54
"86",86,177,0.531
"87",87,173,0.519
"88",88,192,0.576
"89",89,163,0.489
"90",90,183,0.549
"91",91,165,0.495
"92",92,182,0.546
"93",93,177,0.531
"94",94,200,0.6
"95",95,181,0.543
"96",96,190,0.57
"97",97,172,0.516
"98",98,158,0.474
"99",99,178,0.534
"100",100,183,0.549
